path,label
data\raw\cats\1941.jpg,cats
data\raw\dogs\4276.jpg,dogs
data\raw\dogs\8281.jpg,dogs
data\raw\cats\11157.jpg,cats
data\raw\cats\2294.jpg,cats
data\raw\cats\5785.jpg,cats
data\raw\dogs\1375.jpg,dogs
data\raw\dogs\3839.jpg,dogs
data\raw\cats\6243.jpg,cats
data\raw\cats\10960.jpg,cats
data\raw\dogs\4283.jpg,dogs
data\raw\cats\1038.jpg,cats
data\raw\cats\4357.jpg,cats
data\raw\dogs\9929.jpg,dogs
data\raw\cats\10664.jpg,cats
data\raw\cats\4597.jpg,cats
data\raw\cats\885.jpg,cats
data\raw\dogs\10846.jpg,dogs
data\raw\dogs\10350.jpg,dogs
data\raw\dogs\69.jpg,dogs
data\raw\dogs\4347.jpg,dogs
data\raw\cats\5314.jpg,cats
data\raw\dogs\6705.jpg,dogs
data\raw\cats\971.jpg,cats
data\raw\dogs\9923.jpg,dogs
data\raw\cats\11854.jpg,cats
data\raw\dogs\10367.jpg,dogs
data\raw\dogs\2096.jpg,dogs
data\raw\cats\73.jpg,cats
data\raw\dogs\559.jpg,dogs
data\raw\cats\8270.jpg,cats
data\raw\cats\3994.jpg,cats
data\raw\cats\2805.jpg,cats
data\raw\cats\11779.jpg,cats
data\raw\cats\9568.jpg,cats
data\raw\dogs\2786.jpg,dogs
data\raw\dogs\11803.jpg,dogs
data\raw\dogs\8261.jpg,dogs
data\raw\cats\12425.jpg,cats
data\raw\cats\954.jpg,cats
data\raw\dogs\10059.jpg,dogs
data\raw\dogs\4493.jpg,dogs
data\raw\cats\4566.jpg,cats
data\raw\dogs\4582.jpg,dogs
data\raw\cats\2225.jpg,cats
data\raw\cats\585.jpg,cats
data\raw\cats\4099.jpg,cats
data\raw\dogs\8772.jpg,dogs
data\raw\cats\9452.jpg,cats
data\raw\cats\2884.jpg,cats
data\raw\cats\12135.jpg,cats
data\raw\cats\4212.jpg,cats
data\raw\dogs\3552.jpg,dogs
data\raw\cats\1105.jpg,cats
data\raw\cats\3016.jpg,cats
data\raw\cats\3914.jpg,cats
data\raw\cats\8805.jpg,cats
data\raw\dogs\4157.jpg,dogs
data\raw\dogs\8271.jpg,dogs
data\raw\cats\5794.jpg,cats
data\raw\cats\2029.jpg,cats
data\raw\dogs\2036.jpg,dogs
data\raw\cats\1510.jpg,cats
data\raw\dogs\4548.jpg,dogs
data\raw\cats\6686.jpg,cats
data\raw\dogs\5634.jpg,dogs
data\raw\cats\10755.jpg,cats
data\raw\dogs\8640.jpg,dogs
data\raw\cats\2915.jpg,cats
data\raw\cats\200.jpg,cats
data\raw\cats\4031.jpg,cats
data\raw\cats\8491.jpg,cats
data\raw\dogs\5899.jpg,dogs
data\raw\dogs\12238.jpg,dogs
data\raw\cats\7781.jpg,cats
data\raw\dogs\10861.jpg,dogs
data\raw\dogs\1576.jpg,dogs
data\raw\dogs\9956.jpg,dogs
data\raw\dogs\8726.jpg,dogs
data\raw\cats\5498.jpg,cats
data\raw\cats\11859.jpg,cats
data\raw\cats\10918.jpg,cats
data\raw\dogs\4477.jpg,dogs
data\raw\dogs\7846.jpg,dogs
data\raw\dogs\11436.jpg,dogs
data\raw\cats\11151.jpg,cats
data\raw\dogs\2603.jpg,dogs
data\raw\dogs\2556.jpg,dogs
data\raw\cats\7016.jpg,cats
data\raw\dogs\5297.jpg,dogs
data\raw\dogs\525.jpg,dogs
data\raw\cats\228.jpg,cats
data\raw\cats\9998.jpg,cats
data\raw\cats\7464.jpg,cats
data\raw\cats\9069.jpg,cats
data\raw\dogs\2101.jpg,dogs
data\raw\cats\12251.jpg,cats
data\raw\cats\2421.jpg,cats
data\raw\dogs\11788.jpg,dogs
data\raw\dogs\5197.jpg,dogs
data\raw\cats\2351.jpg,cats
data\raw\dogs\8368.jpg,dogs
data\raw\cats\5904.jpg,cats
data\raw\cats\6024.jpg,cats
data\raw\cats\59.jpg,cats
data\raw\cats\5532.jpg,cats
data\raw\cats\2218.jpg,cats
data\raw\cats\2237.jpg,cats
data\raw\cats\10779.jpg,cats
data\raw\cats\995.jpg,cats
data\raw\cats\7413.jpg,cats
data\raw\cats\9673.jpg,cats
data\raw\dogs\5550.jpg,dogs
data\raw\cats\8779.jpg,cats
data\raw\cats\12185.jpg,cats
data\raw\cats\9212.jpg,cats
data\raw\cats\7212.jpg,cats
data\raw\cats\11199.jpg,cats
data\raw\dogs\5510.jpg,dogs
data\raw\dogs\1045.jpg,dogs
data\raw\cats\11882.jpg,cats
data\raw\dogs\9463.jpg,dogs
data\raw\cats\403.jpg,cats
data\raw\cats\2428.jpg,cats
data\raw\cats\12145.jpg,cats
data\raw\dogs\2516.jpg,dogs
data\raw\dogs\7471.jpg,dogs
data\raw\cats\6270.jpg,cats
data\raw\cats\6365.jpg,cats
data\raw\dogs\2732.jpg,dogs
data\raw\dogs\460.jpg,dogs
data\raw\cats\4624.jpg,cats
data\raw\cats\6899.jpg,cats
data\raw\dogs\8322.jpg,dogs
data\raw\cats\2612.jpg,cats
data\raw\cats\8164.jpg,cats
data\raw\cats\444.jpg,cats
data\raw\dogs\6719.jpg,dogs
data\raw\dogs\2318.jpg,dogs
data\raw\cats\6724.jpg,cats
data\raw\dogs\2505.jpg,dogs
data\raw\cats\528.jpg,cats
data\raw\cats\1749.jpg,cats
data\raw\cats\7281.jpg,cats
data\raw\cats\3834.jpg,cats
data\raw\cats\8833.jpg,cats
data\raw\cats\8190.jpg,cats
data\raw\dogs\3413.jpg,dogs
data\raw\cats\2139.jpg,cats
data\raw\dogs\6694.jpg,dogs
data\raw\dogs\8244.jpg,dogs
data\raw\dogs\9715.jpg,dogs
data\raw\cats\5868.jpg,cats
data\raw\dogs\5344.jpg,dogs
data\raw\cats\5643.jpg,cats
data\raw\dogs\2157.jpg,dogs
data\raw\cats\4907.jpg,cats
data\raw\cats\8820.jpg,cats
data\raw\dogs\2472.jpg,dogs
data\raw\cats\1417.jpg,cats
data\raw\dogs\10217.jpg,dogs
data\raw\cats\9511.jpg,cats
data\raw\dogs\7268.jpg,dogs
data\raw\cats\3911.jpg,cats
data\raw\cats\10711.jpg,cats
data\raw\dogs\6628.jpg,dogs
data\raw\dogs\10503.jpg,dogs
data\raw\dogs\4326.jpg,dogs
data\raw\cats\7300.jpg,cats
data\raw\dogs\9355.jpg,dogs
data\raw\dogs\9260.jpg,dogs
data\raw\cats\4027.jpg,cats
data\raw\dogs\987.jpg,dogs
data\raw\cats\966.jpg,cats
data\raw\dogs\12307.jpg,dogs
